"Range" "Sequential" "Async (Batch Size 16)" "Async (Batch Size 2)" "Async (Batch Size 32)" "Async (Batch Size 4)" "Async (Batch Size 8)" "Cuda - Coarse: 1 warp" "Cuda - Coarse: 16 warps" "Cuda - Coarse: 32 warps" "Cuda - Fine: 1 warp" "Cuda - Fine: 16 warps" "Cuda - Fine: 32 warps" "Cuda - Hybrid: 1 warp" "Cuda - Hybrid: 16 warps" "Cuda - Hybrid: 32 warps" "Omp (Dynamic, 1)" "Omp (Dynamic, 10)" "Omp (Static, 1)" "Omp (Static, 10)" 
0    0.0000001557    0.0000351684    0.0000309117    0.0000255629    0.0000238701    0.0000233935    0.0065803892    0.0001641159    0.0001620288    0.0001629614    0.0001620851    0.0001622928    0.0001612379    0.0001562563    0.0001517809    0.0002495157    0.0000024892    0.0000020754    0.0000018454 
100    0.0000269348    0.0034585532    0.0007606630    0.0029892941    0.0006001650    0.0022972970    0.0002836960    0.0001911496    0.0001825348    0.0005111972    0.0005049219    0.0005095471    0.0001515009    0.0001531279    0.0001566976    0.0004338603    0.0008442280    0.0004618780    0.0005942019 
200    0.0001031332    0.0060983015    0.0015408711    0.0059913631    0.0012468342    0.0045893156    0.0003298284    0.0002202692    0.0002098049    0.0008728589    0.0008585895    0.0008670203    0.0001527357    0.0001552655    0.0001618484    0.0004579131    0.0001331198    0.0000154926    0.0000191695 
300    0.0002299785    0.0080335562    0.0022723247    0.0089391714    0.0017933250    0.0069946942    0.0003726938    0.0002581463    0.0002456634    0.0012514210    0.0012216436    0.0012284106    0.0001598737    0.0001626667    0.0001739270    0.0006410099    0.0000396385    0.0000309416    0.0000363688 
400    0.0004055051    0.0103824153    0.0030552411    0.0118372493    0.0023840810    0.0093040204    0.0004096982    0.0002869397    0.0002729809    0.0016165189    0.0016520881    0.0015987041    0.0001582652    0.0001672361    0.0001848253    0.0002248663    0.0000613217    0.0000527684    0.0000612027 
500    0.0007536934    0.0134095620    0.0042050233    0.0154628720    0.0033566159    0.0128756767    0.0004769333    0.0003613624    0.0003192092    0.0020324161    0.0020100564    0.0020962847    0.0001780379    0.0001920709    0.0002016210    0.0016742943    0.0011364863    0.0004871681    0.0003652437 
600    0.0009237450    0.0155561288    0.0051385947    0.0179120060    0.0038138172    0.0144625259    0.0004708106    0.0003306367    0.0003453315    0.0023208044    0.0023301326    0.0023543144    0.0001749439    0.0001804398    0.0002011495    0.0012006964    0.0009503569    0.0005567239    0.0001248570 
700    0.0012345012    0.0170340521    0.0054562411    0.0202118176    0.0041854698    0.0164669570    0.0004787371    0.0003647575    0.0004054195    0.0026717954    0.0026884518    0.0027116192    0.0001722720    0.0001859061    0.0002117329    0.0005163335    0.0004678232    0.0004662001    0.0004321496 
800    0.0015886492    0.0195283428    0.0062700639    0.0232254766    0.0047598797    0.0188373488    0.0005136957    0.0004201180    0.0004650365    0.0030326111    0.0030643230    0.0030935940    0.0002028996    0.0001996292    0.0002303806    0.0006812210    0.0003170906    0.0001998830    0.0002129219 
900    0.0018810987    0.0220440738    0.0071246267    0.0259293723    0.0054007734    0.0212205099    0.0005384939    0.0004749535    0.0005186070    0.0034027837    0.0034607362    0.0034850246    0.0001882544    0.0002017889    0.0002344897    0.0004272081    0.0005671000    0.0005592929    0.0002669322 
1000    0.0022231279    0.0246030810    0.0080069589    0.0288089360    0.0060501743    0.0236664236    0.0005553603    0.0005164797    0.0005794506    0.0038072305    0.0039252658    0.0038905928    0.0001970067    0.0002134294    0.0002499591    0.0003324114    0.0003265261    0.0003091704    0.0003249417 
1100    0.0025592489    0.0269126886    0.0089448545    0.0319790524    0.0067374086    0.0260940036    0.0005902793    0.0005297275    0.0005983005    0.0041248502    0.0042485028    0.0043009960    0.0002120553    0.0002321539    0.0002694565    0.0003959324    0.0003933852    0.0003714932    0.0003886988 
1200    0.0029425027    0.0293648066    0.0097659312    0.0346864436    0.0074037991    0.0284957429    0.0006270573    0.0005265383    0.0005943962    0.0044874060    0.0046459070    0.0047027013    0.0002191082    0.0002407828    0.0002841233    0.0005876196    0.0004610400    0.0004427716    0.0004598119 
1300    0.0034180872    0.0317336731    0.0107809962    0.0378660508    0.0082026187    0.0309132970    0.0006487698    0.0005903817    0.0005926787    0.0048537061    0.0050317670    0.0051165229    0.0002344233    0.0002624172    0.0003132488    0.0005560898    0.0005421912    0.0005153347    0.0005366309 
1400    0.0038341752    0.0348478185    0.0116516750    0.0404793086    0.0088564150    0.0331808275    0.0006743183    0.0006098709    0.0005909756    0.0052164386    0.0054199639    0.0055487341    0.0002400827    0.0002652874    0.0003152152    0.0007134384    0.0006244555    0.0005977895    0.0006203065 
1500    0.0043095777    0.0370930622    0.0125763930    0.0435765691    0.0096886112    0.0357944074    0.0006981870    0.0007164038    0.0006366557    0.0056882723    0.0058152091    0.0059667839    0.0002545102    0.0002787262    0.0003302619    0.0007133573    0.0007118168    0.0006819334    0.0007090130 
1600    0.0048623098    0.0398278912    0.0137824379    0.0469622532    0.0105506249    0.0386387049    0.0007546995    0.0007279818    0.0007339526    0.0059648587    0.0062058211    0.0064132274    0.0002631273    0.0002973458    0.0003541668    0.0008082242    0.0008042118    0.0007779482    0.0008018092 
1700    0.0054153462    0.0424050212    0.0148522221    0.0497364400    0.0113684328    0.0407130777    0.0008500037    0.0007502991    0.0009175832    0.0064615926    0.0066940397    0.0068622608    0.0002777282    0.0003103617    0.0003712710    0.0009101741    0.0009051138    0.0008761519    0.0009037344 
