
"Range 0-n" "Sequential" "Cuda - Coarse: 1 warp" "Cuda - Coarse: 16 warps" "Cuda - Coarse: 32 warps" "Cuda - Fine: 1 warp" "Cuda - Fine: 16 warps" "Cuda - Fine: 32 warps" "Cuda - Hybrid: 1 warp" "Cuda - Hybrid: 16 warps" "Cuda - Hybrid: 32 warps" "Omp (Dynamic, 1)" "Omp (Dynamic, 10)" "Omp (Static, 1)" "Omp (Static, 10)" "std::Async" 
230    0.0001311531    0.0002296037    0.0002274698    0.0002269361    0.0008933854    0.0008534918    0.0008579322    0.0001453713    0.0001482732    0.0001535441    0.0000516143    0.0000240599    0.0000211132    0.0000238509    0.0000000838 
240    0.0001429362    0.0002318758    0.0002295988    0.0002300932    0.0009265323    0.0008863221    0.0008886464    0.0001454013    0.0001484141    0.0001537276    0.0000530081    0.0000256347    0.0000227978    0.0000253645    0.0000000835 
250    0.0001548835    0.0002348282    0.0002366621    0.0002327031    0.0009517444    0.0009158049    0.0009201796    0.0001456220    0.0001488945    0.0001546098    0.0000542046    0.0000271996    0.0000243644    0.0000268234    0.0000000825 
260    0.0001677931    0.0002362282    0.0002356967    0.0002350426    0.0009877863    0.0009468777    0.0009516639    0.0001455830    0.0001490134    0.0001547617    0.0000561880    0.0000290799    0.0000260818    0.0000288192    0.0000000883 
270    0.0001804265    0.0002391264    0.0002377824    0.0002372651    0.0010167599    0.0009782105    0.0009839697    0.0001490612    0.0001496912    0.0001557440    0.0000575536    0.0000312740    0.0000276959    0.0000309742    0.0000000897 
280    0.0001945085    0.0002413965    0.0002406087    0.0002418965    0.0010486360    0.0010095685    0.0010163253    0.0001469995    0.0001497816    0.0001562426    0.0000597136    0.0000333885    0.0000295409    0.0000329680    0.0000000891 
290    0.0002080290    0.0002432264    0.0002442572    0.0002429329    0.0010778046    0.0010416354    0.0010469936    0.0001472106    0.0001500366    0.0001564962    0.0000612312    0.0000352570    0.0000314235    0.0000351145    0.0000000898 
300    0.0002227936    0.0002459504    0.0002470485    0.0002457701    0.0011101054    0.0010731398    0.0010783976    0.0001470594    0.0001506610    0.0001572962    0.0000626548    0.0000373327    0.0000333186    0.0000372732    0.0000000892 
310    0.0002377286    0.0002478922    0.0002493943    0.0002479014    0.0011401486    0.0011041803    0.0011096913    0.0001472637    0.0001506176    0.0001580197    0.0000648860    0.0000392532    0.0000352016    0.0000390771    0.0000000903 
320    0.0002534417    0.0002501339    0.0002526656    0.0002513375    0.0011719054    0.0011354295    0.0011414533    0.0001477486    0.0001508004    0.0001584247    0.0000677561    0.0000413017    0.0000375242    0.0000411713    0.0000000894 
330    0.0002694745    0.0002528714    0.0002556696    0.0002538321    0.0012126990    0.0011678880    0.0011736439    0.0001484542    0.0001525652    0.0001590142    0.0000694213    0.0000433280    0.0000395178    0.0000431426    0.0000000891 
340    0.0002858097    0.0002548540    0.0002569906    0.0002560933    0.0012409671    0.0012005588    0.0012056901    0.0001485525    0.0001530980    0.0001595512    0.0000716521    0.0000459145    0.0000416519    0.0000457190    0.0000000897 
350    0.0003031714    0.0002587829    0.0002590774    0.0002585439    0.0012722719    0.0012308078    0.0012384151    0.0001490444    0.0001527831    0.0001602503    0.0000739905    0.0000483959    0.0000438121    0.0000481833    0.0000000890 
360    0.0003206382    0.0002596898    0.0002637563    0.0002619836    0.0013033615    0.0012620476    0.0012698842    0.0001490650    0.0001522918    0.0001605710    0.0000763418    0.0000509921    0.0000462237    0.0000505135    0.0000000900 
370    0.0003357911    0.0002620142    0.0002660087    0.0002648982    0.0013357534    0.0012945786    0.0013014589    0.0001492162    0.0001530783    0.0001615577    0.0000970614    0.0000645019    0.0000486108    0.0000533893    0.0000000889 
380    0.0003499526    0.0002640046    0.0002683075    0.0002668953    0.0013649478    0.0013283793    0.0013328040    0.0001493843    0.0001530695    0.0001618682    0.0000806596    0.0000560894    0.0000508848    0.0000557364    0.0000000889 
390    0.0003690022    0.0002657908    0.0002735277    0.0002718937    0.0013950404    0.0013569733    0.0013655522    0.0001506426    0.0001543874    0.0001630974    0.0000832710    0.0000586219    0.0000532479    0.0000582460    0.0000000890 
400    0.0003871419    0.0002686989    0.0002750366    0.0002750410    0.0014285530    0.0013906531    0.0013965723    0.0001505091    0.0001535824    0.0001644258    0.0000864297    0.0000611326    0.0000558931    0.0000610851    0.0000000883 
410    0.0004066287    0.0002715621    0.0002779229    0.0002770419    0.0014567338    0.0014198335    0.0014289721    0.0001548106    0.0001559683    0.0001638194    0.0000883168    0.0000638035    0.0000587575    0.0000632885    0.0000000893 
420    0.0004270367    0.0002730644    0.0002833740    0.0002823256    0.0014876804    0.0014518127    0.0014596181    0.0001512229    0.0001564132    0.0001660952    0.0000919925    0.0000667458    0.0000611687    0.0000661378    0.0000000886 
430    0.0004477620    0.0002747390    0.0002858970    0.0002843678    0.0015192421    0.0014831490    0.0014916118    0.0001513598    0.0001549695    0.0001650674    0.0000941998    0.0000698667    0.0000636749    0.0000694209    0.0000000888 
440    0.0004684922    0.0002776716    0.0002879141    0.0002872734    0.0015502090    0.0015145271    0.0015233080    0.0001515479    0.0001554042    0.0001657115    0.0000967796    0.0000728570    0.0000668092    0.0000723723    0.0000000890 
450    0.0004893585    0.0002795436    0.0002933093    0.0002920095    0.0015820903    0.0015461424    0.0015554419    0.0001519791    0.0001556173    0.0001662904    0.0000994830    0.0000757002    0.0000695315    0.0000754676    0.0000000886 
460    0.0005125384    0.0002819287    0.0002953835    0.0002946074    0.0016121223    0.0015779251    0.0015868294    0.0001529275    0.0001567374    0.0001666737    0.0001025444    0.0000787923    0.0000724410    0.0000786078    0.0000000882 
470    0.0005341489    0.0002846044    0.0002982871    0.0002967590    0.0016445851    0.0016089855    0.0016184014    0.0001530985    0.0001566650    0.0001674825    0.0001057007    0.0000817796    0.0000753080    0.0000815999    0.0000000889 
480    0.0005566159    0.0002861103    0.0003030007    0.0003018569    0.0016724130    0.0016406330    0.0016501858    0.0001537406    0.0001568883    0.0001679992    0.0001085246    0.0000847919    0.0000785338    0.0000846755    0.0000000904 
490    0.0005807937    0.0002885772    0.0003056319    0.0003047848    0.0016981211    0.0016724617    0.0016820567    0.0001538025    0.0001574881    0.0001689931    0.0001118118    0.0000877955    0.0000815537    0.0000877783    0.0000000911 
500    0.0006047310    0.0002912672    0.0003079351    0.0003200547    0.0017148478    0.0017044860    0.0017148942    0.0001537647    0.0001592935    0.0001691582    0.0001145841    0.0000912852    0.0000846497    0.0000908764    0.0000000880 
510    0.0006287876    0.0002933953    0.0003100524    0.0003167169    0.0017416029    0.0017352565    0.0017454534    0.0001536842    0.0001580547    0.0001698981    0.0001177397    0.0000946947    0.0000879433    0.0000944282    0.0000000892 
520    0.0006529055    0.0002958185    0.0003107117    0.0003171806    0.0017731899    0.0017681291    0.0017789024    0.0001566956    0.0001589887    0.0001711255    0.0001212429    0.0000985896    0.0000913627    0.0000980794    0.0000000893 
530    0.0006783789    0.0002980620    0.0003156460    0.0003081893    0.0018045527    0.0018003748    0.0018108630    0.0001553885    0.0001594987    0.0001716188    0.0001246346    0.0001018276    0.0000945096    0.0001017110    0.0000000883 
540    0.0007044977    0.0003006996    0.0003106730    0.0003074294    0.0018359495    0.0018328845    0.0018438153    0.0001556159    0.0001597338    0.0001720291    0.0001281537    0.0001053056    0.0000982912    0.0001052755    0.0000000889 
